feature,spearman_rho,spearman_p,pearson_r,pearson_p,n
wrist_jerk_max_mm_s3,-0.03795869820850526,0.5676729784938077,-0.035637308154045304,0.5916063675495393,229
thumb_tip_accel_max_mm_s2,-0.035516454791941605,0.5928648691618926,0.0003288372303545017,0.9960513020492477,229
wrist_n_jerk_peaks,-0.03469837799331118,0.6014157431653254,0.16923610640708409,0.01030198514480151,229
wrist_n_accel_peaks,0.03232373106171709,0.6265437741666744,0.20393049174274383,0.001923465726920335,229
wrist_peak_total_duration_s,0.03132247131431574,0.6372716592534845,0.12112821298130344,0.0672926257114536,229
index_finger_tip_n_high_peaks,0.022399369958295254,0.7360027869625331,0.17770510347850796,0.0070189997433997234,229
index_finger_tip_peak_total_duration_s,0.019766283102020173,0.7660769034535453,0.12323907066186708,0.06262514164021538,229
wrist_mean_freq_hz,-0.011967892094302197,0.8570564352910521,0.024570676630104114,0.7114995159830366,229
index_finger_tip_mean_freq_hz,-0.00938275145655663,0.8877017465197127,0.008597615450537206,0.8970443535888519,229
thumb_tip_peak_total_duration_s,0.008107168919222954,0.9028876351695467,0.09161633940828054,0.1670553630612751,229
index_finger_tip_sample_entropy,-0.0070049616817148925,0.9160381718482149,-0.0012948822572478168,0.9844518877492004,229
thumb_tip_sample_entropy,-0.005096357195862621,0.9389967781334716,-0.046773967924858495,0.48219642415831204,228
